Northing,Easting,Lat (DD),Long (DD),Depth (Proc)
6768071.771,465545.640,61.0459359,-069.6379595,21.672
6768075.479,465548.276,61.0459695,-069.6379114,23.170
6768074.959,465548.626,61.0459648,-069.6379048,22.648
6768074.973,465548.419,61.0459649,-069.6379086,22.634
6768074.218,465548.659,61.0459582,-069.6379041,22.692
6768073.833,465548.826,61.0459547,-069.6379009,22.776
6768073.558,465548.962,61.0459523,-069.6378983,22.765
6768073.241,465548.752,61.0459494,-069.6379022,22.754
6768072.816,465549.082,61.0459456,-069.6378960,22.713
6768072.579,465549.176,61.0459435,-069.6378942,22.706
6768072.002,465549.421,61.0459383,-069.6378896,22.664
6768071.317,465549.655,61.0459322,-069.6378851,22.702
6768070.888,465549.834,61.0459284,-069.6378817,22.738
6768070.361,465550.228,61.0459237,-069.6378743,22.773
6768069.729,465550.847,61.0459181,-069.6378628,22.718
6768069.348,465550.657,61.0459146,-069.6378662,22.780
6768068.537,465551.346,61.0459074,-069.6378533,22.716
6768068.117,465551.181,61.0459036,-069.6378563,22.693
6768067.576,465551.711,61.0458988,-069.6378464,22.676
6768067.297,465551.581,61.0458963,-069.6378487,22.773
6768066.795,465551.926,61.0458918,-069.6378422,22.788
6768066.329,465552.033,61.0458876,-069.6378402,22.684
6768065.804,465552.192,61.0458829,-069.6378371,22.671
6768065.405,465552.491,61.0458794,-069.6378315,22.651
6768064.891,465552.811,61.0458748,-069.6378255,22.583
6768064.470,465552.854,61.0458710,-069.6378247,22.587
6768063.949,465553.201,61.0458664,-069.6378181,22.735
6768063.278,465553.368,61.0458604,-069.6378149,22.606
6768063.001,465553.536,61.0458579,-069.6378118,22.603
6768062.298,465553.693,61.0458516,-069.6378087,22.559
6768061.869,465553.778,61.0458478,-069.6378071,22.557
6768061.408,465553.950,61.0458436,-069.6378038,22.545
6768060.872,465553.985,61.0458388,-069.6378031,22.566
6768060.441,465554.269,61.0458350,-069.6377977,22.649
6768060.072,465554.225,61.0458317,-069.6377985,22.486
6768059.565,465554.461,61.0458271,-069.6377940,22.495
