latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,ortho_height_m_CGVD28_HTv2,rcvr_clk_ns
61.0449222,-69.6429271,-16.860,13.78194,265,2017,4.557,-43.651
61.0449224,-69.6429272,-16.868,13.78222,265,2017,4.549,-43.790
61.0449225,-69.6429273,-16.856,13.78250,265,2017,4.561,-43.694
61.0449224,-69.6429272,-16.880,13.78278,265,2017,4.537,-43.706
61.0449222,-69.6429271,-16.871,13.78306,265,2017,4.546,-43.612
61.0449222,-69.6429271,-16.853,13.78333,265,2017,4.564,-43.531
61.0449223,-69.6429271,-16.851,13.78361,265,2017,4.566,-43.453
61.0449223,-69.6429270,-16.864,13.78389,265,2017,4.553,-43.600
61.0449223,-69.6429272,-16.878,13.78417,265,2017,4.539,-43.903
61.0449225,-69.6429272,-16.872,13.78444,265,2017,4.545,-43.383
61.0449227,-69.6429274,-16.862,13.78472,265,2017,4.555,-36.785
61.0449229,-69.6429274,-16.873,13.78500,265,2017,4.544,-32.837
61.0449229,-69.6429274,-16.878,13.78528,265,2017,4.539,-11.804
61.0449228,-69.6429275,-16.894,13.78556,265,2017,4.523,7.411
61.0449229,-69.6429276,-16.892,13.78583,265,2017,4.525,15.130
61.0449228,-69.6429273,-16.871,13.78611,265,2017,4.546,23.162
61.0449228,-69.6429273,-16.883,13.78639,265,2017,4.534,31.483
61.0449227,-69.6429272,-16.897,13.78667,265,2017,4.520,39.329
61.0449228,-69.6429272,-16.896,13.78694,265,2017,4.521,48.985
61.0449228,-69.6429273,-16.899,13.78722,265,2017,4.518,60.437
61.0449226,-69.6429272,-16.882,13.78750,265,2017,4.535,69.720
61.0449226,-69.6429271,-16.880,13.78778,265,2017,4.537,76.297
61.0449227,-69.6429271,-16.882,13.78806,265,2017,4.535,82.219
61.0449227,-69.6429270,-16.867,13.78833,265,2017,4.550,88.840
61.0449227,-69.6429271,-16.874,13.78861,265,2017,4.543,94.921
61.0449227,-69.6429271,-16.870,13.78889,265,2017,4.547,101.126
61.0449228,-69.6429270,-16.875,13.78917,265,2017,4.542,107.417
61.0449228,-69.6429270,-16.862,13.78944,265,2017,4.555,113.712
61.0449226,-69.6429268,-16.874,13.78972,265,2017,4.543,119.344
61.0449225,-69.6429267,-16.859,13.79000,265,2017,4.558,123.499
61.0449226,-69.6429267,-16.849,13.79028,265,2017,4.568,127.037
61.0449226,-69.6429267,-16.824,13.79056,265,2017,4.593,130.431
61.0449227,-69.6429266,-16.849,13.79083,265,2017,4.568,133.588
61.0449229,-69.6429268,-16.847,13.79111,265,2017,4.570,136.899
61.0449229,-69.6429268,-16.846,13.79139,265,2017,4.571,141.063
61.0449227,-69.6429268,-16.851,13.79167,265,2017,4.566,144.788
61.0449225,-69.6429266,-16.837,13.79194,265,2017,4.580,147.718
61.0449223,-69.6429264,-16.832,13.79222,265,2017,4.585,150.333
61.0449224,-69.6429265,-16.839,13.79250,265,2017,4.578,152.806
61.0449224,-69.6429264,-16.839,13.79278,265,2017,4.578,155.151
61.0449223,-69.6429265,-16.834,13.79306,265,2017,4.583,157.300
61.0449223,-69.6429264,-16.832,13.79333,265,2017,4.585,159.502
61.0449226,-69.6429265,-16.817,13.79361,265,2017,4.600,161.542
61.0449226,-69.6429267,-16.819,13.79389,265,2017,4.598,163.634
61.0449228,-69.6429267,-16.810,13.79417,265,2017,4.607,165.834
61.0449229,-69.6429268,-16.811,13.79444,265,2017,4.606,168.119
61.0449231,-69.6429268,-16.811,13.79472,265,2017,4.606,171.317
61.0449231,-69.6429268,-16.813,13.79500,265,2017,4.604,160.079
61.0449231,-69.6429270,-16.819,13.79528,265,2017,4.598,156.715
61.0449231,-69.6429269,-16.826,13.79556,265,2017,4.591,154.884
61.0449230,-69.6429269,-16.825,13.79583,265,2017,4.592,153.578
61.0449229,-69.6429268,-16.822,13.79611,265,2017,4.595,152.313
61.0449227,-69.6429265,-16.828,13.79639,265,2017,4.589,151.142
61.0449227,-69.6429265,-16.823,13.79667,265,2017,4.594,150.181
61.0449227,-69.6429264,-16.826,13.79694,265,2017,4.591,149.344
61.0449226,-69.6429264,-16.812,13.79722,265,2017,4.605,148.802
61.0449226,-69.6429264,-16.795,13.79750,265,2017,4.622,148.341
61.0449229,-69.6429265,-16.791,13.79778,265,2017,4.626,147.995
61.0449229,-69.6429265,-16.808,13.79806,265,2017,4.609,147.614
61.0449228,-69.6429265,-16.794,13.79833,265,2017,4.623,147.278
61.0449228,-69.6429264,-16.792,13.79861,265,2017,4.625,147.052
61.0449228,-69.6429264,-16.785,13.79889,265,2017,4.632,146.731
61.0449230,-69.6429264,-16.785,13.79917,265,2017,4.632,146.491
61.0449230,-69.6429265,-16.802,13.79944,265,2017,4.615,146.239
61.0449231,-69.6429266,-16.789,13.79972,265,2017,4.628,146.063
61.0449230,-69.6429264,-16.784,13.80000,265,2017,4.633,145.941
61.0449230,-69.6429263,-16.776,13.80028,265,2017,4.641,145.740
61.0449230,-69.6429262,-16.788,13.80056,265,2017,4.629,145.682
61.0449230,-69.6429262,-16.792,13.80083,265,2017,4.625,145.478
61.0449231,-69.6429262,-16.789,13.80111,265,2017,4.628,145.292
61.0449229,-69.6429261,-16.790,13.80139,265,2017,4.627,145.139
61.0449227,-69.6429259,-16.797,13.80167,265,2017,4.620,145.070
61.0449226,-69.6429257,-16.788,13.80194,265,2017,4.629,144.864
61.0449224,-69.6429257,-16.788,13.80222,265,2017,4.629,144.724
61.0449224,-69.6429257,-16.801,13.80250,265,2017,4.616,144.434
61.0449222,-69.6429254,-16.796,13.80278,265,2017,4.621,144.064
61.0449222,-69.6429253,-16.797,13.80306,265,2017,4.620,143.178
61.0449224,-69.6429255,-16.788,13.80333,265,2017,4.629,141.937
61.0449225,-69.6429257,-16.787,13.80361,265,2017,4.630,140.239
61.0449226,-69.6429257,-16.776,13.80389,265,2017,4.641,138.334
61.0449226,-69.6429257,-16.796,13.80417,265,2017,4.621,136.090
61.0449229,-69.6429258,-16.785,13.80444,265,2017,4.632,133.184
61.0449231,-69.6429259,-16.775,13.80472,265,2017,4.642,130.130
61.0449230,-69.6429259,-16.776,13.80500,265,2017,4.641,126.711
61.0449231,-69.6429258,-16.776,13.80528,265,2017,4.641,123.113
61.0449229,-69.6429256,-16.776,13.80556,265,2017,4.641,118.837
61.0449228,-69.6429255,-16.761,13.80583,265,2017,4.656,114.406
61.0449227,-69.6429253,-16.756,13.80611,265,2017,4.661,109.448
61.0449225,-69.6429250,-16.760,13.80639,265,2017,4.657,104.293
61.0449224,-69.6429249,-16.742,13.80667,265,2017,4.675,98.678
61.0449225,-69.6429250,-16.728,13.80694,265,2017,4.689,92.786
61.0449226,-69.6429249,-16.738,13.80722,265,2017,4.679,86.363
61.0449226,-69.6429250,-16.740,13.80750,265,2017,4.677,79.747
61.0449228,-69.6429253,-16.740,13.80778,265,2017,4.677,72.682
61.0449227,-69.6429255,-16.713,13.80806,265,2017,4.704,65.079
61.0449225,-69.6429271,-16.711,13.80833,265,2017,4.706,57.073
61.0449219,-69.6429291,-16.719,13.80861,265,2017,4.698,48.788
61.0449217,-69.6429309,-16.715,13.80889,265,2017,4.702,40.092
61.0449216,-69.6429330,-16.715,13.80917,265,2017,4.702,30.881
61.0449210,-69.6429362,-16.705,13.80944,265,2017,4.712,21.187
61.0449196,-69.6429421,-16.696,13.80972,265,2017,4.721,11.032
61.0449184,-69.6429502,-16.679,13.81000,265,2017,4.738,0.576
61.0449170,-69.6429605,-16.689,13.81028,265,2017,4.728,-10.179
61.0449153,-69.6429723,-16.684,13.81056,265,2017,4.733,-21.104
61.0449136,-69.6429849,-16.671,13.81083,265,2017,4.746,-32.158
61.0449113,-69.6429980,-16.658,13.81111,265,2017,4.759,-43.404
61.0449083,-69.6430125,-16.708,13.81139,265,2017,4.709,-55.212
61.0449047,-69.6430266,-16.704,13.81167,265,2017,4.713,-67.209
61.0449009,-69.6430405,-16.685,13.81194,265,2017,4.732,-79.849
61.0448963,-69.6430548,-16.710,13.81222,265,2017,4.707,-93.130
61.0448912,-69.6430683,-16.713,13.81250,265,2017,4.704,-106.669
61.0448860,-69.6430811,-16.728,13.81278,265,2017,4.689,-120.621
61.0448804,-69.6430939,-16.737,13.81306,265,2017,4.680,-135.048
61.0448745,-69.6431067,-16.753,13.81333,265,2017,4.664,-149.814
61.0448684,-69.6431195,-16.733,13.81361,265,2017,4.684,-164.953
61.0448619,-69.6431321,-16.780,13.81389,265,2017,4.637,-180.442
61.0448551,-69.6431440,-16.797,13.81417,265,2017,4.620,-196.256
61.0448480,-69.6431551,-16.788,13.81444,265,2017,4.629,-212.626
61.0448408,-69.6431661,-16.789,13.81472,265,2017,4.628,-229.391
61.0448333,-69.6431772,-16.765,13.81500,265,2017,4.652,-246.476
61.0448255,-69.6431884,-16.743,13.81528,265,2017,4.674,-264.207
61.0448175,-69.6431990,-16.767,13.81556,265,2017,4.650,-282.373
61.0448097,-69.6432081,-16.754,13.81583,265,2017,4.663,-300.833
61.0448017,-69.6432165,-16.772,13.81611,265,2017,4.645,-319.930
61.0447937,-69.6432247,-16.769,13.81639,265,2017,4.648,-339.156
61.0447857,-69.6432325,-16.775,13.81667,265,2017,4.642,-358.554
61.0447777,-69.6432398,-16.768,13.81694,265,2017,4.649,-378.494
61.0447692,-69.6432464,-16.784,13.81722,265,2017,4.633,-94.397
61.0447606,-69.6432517,-16.769,13.81750,265,2017,4.648,-4.612
61.0447520,-69.6432559,-16.727,13.81778,265,2017,4.690,-10.001
61.0447432,-69.6432589,-16.767,13.81806,265,2017,4.650,-15.592
61.0447345,-69.6432602,-16.775,13.81833,265,2017,4.642,-18.357
61.0447255,-69.6432603,-16.781,13.81861,265,2017,4.636,-20.988
61.0447168,-69.6432595,-16.756,13.81889,265,2017,4.661,-23.815
61.0447084,-69.6432582,-16.752,13.81917,265,2017,4.665,-25.411
61.0447002,-69.6432554,-16.729,13.81944,265,2017,4.688,-27.074
61.0446922,-69.6432515,-16.759,13.81972,265,2017,4.658,-28.814
61.0446843,-69.6432465,-16.764,13.82000,265,2017,4.653,-30.371
61.0446768,-69.6432408,-16.746,13.82028,265,2017,4.671,-31.760
61.0446693,-69.6432344,-16.778,13.82056,265,2017,4.639,-33.189
61.0446616,-69.6432275,-16.751,13.82083,265,2017,4.666,-34.857
61.0446542,-69.6432198,-16.761,13.82111,265,2017,4.656,-36.444
61.0446473,-69.6432114,-16.729,13.82139,265,2017,4.688,-37.649
61.0446405,-69.6432024,-16.746,13.82167,265,2017,4.671,-38.378
61.0446340,-69.6431930,-16.728,13.82194,265,2017,4.689,-38.809
61.0446277,-69.6431834,-16.709,13.82222,265,2017,4.708,-38.874
61.0446218,-69.6431751,-16.709,13.82250,265,2017,4.708,-39.208
61.0446167,-69.6431670,-16.718,13.82278,265,2017,4.699,-40.179
61.0446119,-69.6431596,-16.726,13.82306,265,2017,4.691,-41.423
61.0446075,-69.6431526,-16.727,13.82333,265,2017,4.690,-42.799
61.0446036,-69.6431457,-16.726,13.82361,265,2017,4.691,-44.057
61.0445998,-69.6431387,-16.751,13.82389,265,2017,4.666,-45.641
61.0445960,-69.6431323,-16.780,13.82417,265,2017,4.637,-46.961
61.0445923,-69.6431263,-16.826,13.82444,265,2017,4.591,-47.994
61.0445884,-69.6431210,-16.821,13.82472,265,2017,4.596,-49.023
61.0445847,-69.6431159,-16.805,13.82500,265,2017,4.612,-50.017
61.0445813,-69.6431110,-16.798,13.82528,265,2017,4.619,-50.906
61.0445782,-69.6431060,-16.813,13.82556,265,2017,4.604,-51.467
61.0445754,-69.6431016,-16.833,13.82583,265,2017,4.584,-51.933
61.0445729,-69.6430978,-16.829,13.82611,265,2017,4.588,-52.494
61.0445705,-69.6430937,-16.819,13.82639,265,2017,4.598,-53.084
61.0445682,-69.6430898,-16.823,13.82667,265,2017,4.594,-53.335
61.0445660,-69.6430865,-16.810,13.82694,265,2017,4.607,-53.770
61.0445640,-69.6430832,-16.814,13.82722,265,2017,4.603,-54.130
61.0445621,-69.6430802,-16.801,13.82750,265,2017,4.616,-54.510
61.0445603,-69.6430772,-16.805,13.82778,265,2017,4.612,-55.025
61.0445583,-69.6430743,-16.835,13.82806,265,2017,4.582,-55.254
61.0445561,-69.6430718,-16.843,13.82833,265,2017,4.574,-55.597
61.0445539,-69.6430693,-16.826,13.82861,265,2017,4.591,-55.868
61.0445517,-69.6430666,-16.826,13.82889,265,2017,4.591,-56.316
61.0445494,-69.6430640,-16.853,13.82917,265,2017,4.564,-56.863
61.0445473,-69.6430619,-16.830,13.82944,265,2017,4.587,-57.337
61.0445453,-69.6430598,-16.852,13.82972,265,2017,4.565,-57.843
61.0445431,-69.6430575,-16.832,13.83000,265,2017,4.585,-58.206
61.0445413,-69.6430556,-16.839,13.83028,265,2017,4.578,-58.508
61.0445392,-69.6430541,-16.862,13.83056,265,2017,4.555,-58.708
61.0445369,-69.6430531,-16.852,13.83083,265,2017,4.565,-58.694
